type_shoes,price,address,image_link
Chaussures Nike,7 500CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1085443_uploaded_image1_1571545234.2.png
Chaussures bébés,4 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1080162_uploaded_image1_1571406621.16.png
Chaussures,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1079284_uploaded_image1_1571395937.86.png
Chaussures pour enfants,4 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1069992_uploaded_image1_1571217832.39.png
Chaussures pour enfant,2 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1039882_uploaded_image1_1570558859.4.png
Chaussures pour enfant,2 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1039874_uploaded_image1_1570558771.5.png
Chaussures pour fille,8 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1036214_uploaded_image1_1570490583.73.png
Chaussures pour petite fille,10 000CFA,"Dabou, Côte d'Ivoire",https://images.coinafrique.com/thumb_1016453_uploaded_image1_1570050518.51.png
Chaussures Enfants,7 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1016329_uploaded_image1_1570048288.59.png
Ballerines d'enfants,6 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_992634_uploaded_image1_1569517467.36.png
Chaussures pour fille,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_989175_uploaded_image1_1569447095.5.png
Chaussures filles,5 000CFA,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",https://images.coinafrique.com/thumb_958537_uploaded_image1_1568806245.93.png
Chaussures Hello Kitty - 3 mois - roses,3 500CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_956761_uploaded_image1_1568755457.95.png
Chaussures enfants,2 000CFA,"Attécoubé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_952383_uploaded_image1_1568670966.9.png
Chaussures garçons,3 000CFA,"Attécoubé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_952379_uploaded_image1_1568670874.2.png
Chaussures pour petit garçon,Prix sur demande,"Attécoubé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_952375_uploaded_image1_1568670731.27.png
