type_clothes,price,address,image_link
Robe enfant,9 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496063_uploaded_image1_1596039105.jpg
Tenue enfant,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496057_uploaded_image1_1596039051.jpg
Robe enfant,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496054_uploaded_image1_1596038999.jpg
Robes enfant,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496051_uploaded_image1_1596038944.jpg
Ensemble tenue garçon,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496048_uploaded_image1_1596038878.jpg
Tenue garçon,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496044_uploaded_image1_1596038833.jpg
Ensemble tenue garçon,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496038_uploaded_image1_1596038784.jpg
Ensemble tenue garçon,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496032_uploaded_image1_1596038727.jpg
Ensemble tenue garçon,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496028_uploaded_image1_1596038650.jpg
Vêtements enfants,18 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2489063_uploaded_image1_1595868188.jpg
Robe enfant,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2474929_uploaded_image1_1595521724.jpg
Robe enfant,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2474927_uploaded_image1_1595521672.jpg
Jupes enfant,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2474624_uploaded_image1_1595517203.jpg
Ensemble robe enfant,15 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2474619_uploaded_image1_1595517134.jpg
Ensemble robe enfant,9 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2474587_uploaded_image1_1595516715.jpg
Robes enfant,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2471042_uploaded_image1_1595441243.jpg
Vêtements enfants,5 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2467203_uploaded_image2_1595362138.jpeg
Tenues traditionnelles Yacouba,8 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2463613_uploaded_image1_1595285645.jpg
Vêtements enfants,2 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2462209_uploaded_image1_1595260675.jpg
Vêtements enfants,1 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2462184_uploaded_image1_1595260253.jpg
Barboteuse enfants en coton,3 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2448849_uploaded_image1_1594943383.jpg
Ensemble enfants,14 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2446491_uploaded_image1_1594901810.jpg
