type_clothes,price,address,image_link
Chemises manches longues,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189551_uploaded_image1_1682423624.jpg
T-shirt Lacoste,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189544_uploaded_image2_1682423412.jpeg
Ensemble homme,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189509_uploaded_image1_1682422491.jpg
T-shirt Lacoste,7 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189511_uploaded_image1_1682422566.jpg
T-shirt Lacoste,5 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189504_uploaded_image1_1682422226.jpg
Pantalon Jeans coupe Kaki,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189490_uploaded_image1_1682421921.jpg
Ensemble homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4223358_uploaded_image1_1684578083.jpg
Pantalon Jeans homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4185089_uploaded_image1_1682029357.jpg
Pantalon Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4184913_uploaded_image1_1682014961.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4184907_uploaded_image1_1682014675.jpg
Ensemble homme,12 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4184908_uploaded_image1_1682014803.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4184904_uploaded_image1_1682014532.jpg
Pantalon Jeans homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4184905_uploaded_image1_1682014610.jpg
Vêtements homme,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4184854_uploaded_image1_1682009698.jpg
Vêtements homme,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4184853_uploaded_image1_1682009639.jpg
Vêtements homme,45 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4220067_uploaded_image1_1684344710.jpg
Vêtements homme,25 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4220063_uploaded_image3_1684344539.jpeg
Jogging homme,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4181552_uploaded_image1_1681817941.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4181556_uploaded_image1_1681818007.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4181571_uploaded_image1_1681818225.jpg
Pantalons Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4181572_uploaded_image1_1681818298.jpg
Costume homme + chemise,60 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4217345_uploaded_image1_1684182550.jpg
Boubou homme,40 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4216529_uploaded_image1_1684147565.jpg
Lacoste homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178578_uploaded_image1_1681600776.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178581_uploaded_image1_1681600846.jpg
Boubou homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4215475_uploaded_image1_1684057835.jpg
Boubou homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4215474_uploaded_image2_1684057748.jpeg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4177390_uploaded_image1_1681512948.jpg
Chemise homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4177379_uploaded_image1_1681512419.jpg
Ensemble homme,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4177383_uploaded_image1_1681512553.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4177369_uploaded_image1_1681512032.jpg
Chemise homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4177335_uploaded_image1_1681509718.jpg
Ensemble homme,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4177339_uploaded_image1_1681509806.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4177333_uploaded_image1_1681509662.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4174416_uploaded_image1_1681336036.jpg
Polos  Lacoste homme,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4211989_uploaded_image1_1683819083.jpg
Ensemble homme et femme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4203857_uploaded_image1_1683292656.jpg
Sous-vêtements hommes,5 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4210552_uploaded_image1_1683733908.jpg
Ensemble homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4175192_uploaded_image1_1681388293.jpg
Ensemble homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178912_uploaded_image1_1681646745.jpg
Polo homme,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4176415_uploaded_image1_1681466953.jpg
Polo homme,5 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4176388_uploaded_image1_1681465483.jpg
Pantalon jeans kaki homme,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4176381_uploaded_image1_1681465104.jpg
Ensemble homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4189047_uploaded_image1_1682381217.jpg
Vêtements homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4174424_uploaded_image1_1681336817.jpg
Pantalon Jeans homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4171109_uploaded_image1_1681143592.jpg
Pantalon Jeans homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4170306_uploaded_image1_1681083648.jpg
Vêtements homme,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4170794_uploaded_image1_1681128570.jpg
Pantalon jeans homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4207889_uploaded_image1_1683572422.jpg
Pantalon jeans homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4207888_uploaded_image1_1683572293.jpg
Pantalon jeans homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4207886_uploaded_image1_1683572203.jpg
Chemise homme en pagne,18 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4207735_uploaded_image1_1683565237.jpg
Ensemble homme,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4206324_uploaded_image1_1683467481.jpg
Pantalon large,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4206318_uploaded_image3_1683467293.jpeg
Getzner Super Manium Gold,12 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167981_uploaded_image1_1680906757.jpg
Pantalon Kaki homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167978_uploaded_image1_1680906690.jpg
T-shirt,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167985_uploaded_image1_1680906825.jpg
Shorts homme,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4204658_uploaded_image1_1683332154.jpg
Pantalon cargo,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4204656_uploaded_image1_1683332039.jpg
Vêtements homme,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167020_uploaded_image1_1680864988.jpg
Vêtement homme,8 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167018_uploaded_image1_1680864845.jpg
Vêtements homme,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167496_uploaded_image1_1680882644.jpg
Vêtements homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4204208_uploaded_image1_1683305454.jpg
Jallabas,6 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4204000_uploaded_image1_1683298079.jpg
Vêtements homme,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4168670_uploaded_image1_1680959219.jpg
Vêtements homme,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4168666_uploaded_image1_1680959102.jpg
Vêtements homme,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4168642_uploaded_image1_1680958471.jpg
Vêtements homme,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4168638_uploaded_image1_1680958402.jpg
Vêtements homme,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167304_uploaded_image1_1680873424.jpg
Vêtements homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167293_uploaded_image1_1680873186.jpg
Vêtements homme,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167291_uploaded_image1_1680873108.jpg
Vêtements homme,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167300_uploaded_image1_1680873281.jpg
Vêtements homme,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4167302_uploaded_image1_1680873358.jpg
Ensemble veste homme,45 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4163275_uploaded_image1_1680651102.jpg
Pantalon kaki homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4163276_uploaded_image1_1680651201.jpg
Vêtement enfant,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4163229_uploaded_image1_1680649882.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4163214_uploaded_image1_1680649632.jpg
Shorts homme,4 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4169226_uploaded_image1_1680991296.jpg
Ensemble homme,14 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4168200_uploaded_image1_1680933267.jpg
Ensemble homme,14 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4167760_uploaded_image1_1680893962.jpg
Pantalon homme,7 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4167478_uploaded_image1_1680881421.jpg
Pantalons homme,7 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4167476_uploaded_image1_1680881347.jpg
T-shirt homme,5 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4167281_uploaded_image1_1680872839.jpg
Djellaba homme,19 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4167289_uploaded_image3_1680872997.jpeg
Ensemble homme,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258299_uploaded_image1_1686855884.jpg
Grand boubou homme,70 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4257999_uploaded_image1_1686841004.jpg
Ensemble homme,8 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4256948_uploaded_image1_1686771813.jpg
Chemise homme,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4217174_uploaded_image1_1684173564.jpg
Tunique homme,30 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4256174_uploaded_image1_1686744792.jpg
T-shirt Lacoste,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4255238_uploaded_image1_1686680566.jpg
T-shirt Lacoste,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4255220_uploaded_image1_1686679929.jpg
Jallaba  homme,15 000CFA,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_4254076_uploaded_image1_1686611226.jpg
Jallaba  homme,15 000CFA,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_4254067_uploaded_image1_1686610396.jpg
Ensemble homme,8 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4254018_uploaded_image1_1686606446.jpg
Vêtements homme,32 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4252738_uploaded_image1_1686534036.jpg
Polo homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213647_uploaded_image1_1683913713.jpg
Polo homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213638_uploaded_image1_1683913532.jpg
Pantalon kaki homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213663_uploaded_image1_1683914314.jpg
Pantalon jeans homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213607_uploaded_image1_1683911985.jpg
Ensembles homme,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4250741_uploaded_image1_1686391548.jpg
Ensemble Lacoste,12 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250724_uploaded_image1_1686390883.jpg
Ensemble shorts,10 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250720_uploaded_image1_1686390743.jpg
Lacoste homme,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4210506_uploaded_image1_1683732680.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4210522_uploaded_image1_1683733177.jpg
Pantalon jeans homme,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4248959_uploaded_image2_1686291476.jpeg
T-shirt coton,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4248956_uploaded_image1_1686291384.jpg
Pantalons coton,9 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4248955_uploaded_image1_1686291320.jpg
T-shirts Lacoste,9 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4248954_uploaded_image1_1686291256.jpg
T-shirts Lacoste,9 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4248951_uploaded_image1_1686291205.jpg
Chaussures Louis Vuitton,50 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4247007_uploaded_image1_1686164699.jpg
Culottes Ralph Lauren,7 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4246672_uploaded_image1_1686152344.jpg
Pantalon tissu,9 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4246663_uploaded_image1_1686152098.jpg
Culotte Under Armour,7 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4246656_uploaded_image1_1686151901.jpg
Chemise homme,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4206773_uploaded_image1_1683499006.jpg
T-shirts homme,3 700CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4243450_uploaded_image1_1685972691.jpg
Chemise homme,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4205418_uploaded_image1_1683385873.jpg
Boubou homme,40 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4242364_uploaded_image1_1685883774.jpg
Boubou homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4242360_uploaded_image2_1685883457.jpeg
Djellaba,12 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4241346_uploaded_image1_1685801627.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4201330_uploaded_image1_1683156804.jpg
Pantalon Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4201315_uploaded_image1_1683156321.jpg
Vêtements homme,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4234800_uploaded_image1_1685389404.jpg
Vêtements homme,7 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4227426_uploaded_image1_1684859507.jpg
Vêtement homme,5 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4223608_uploaded_image1_1684591300.jpg
Vêtements homme,6 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4219316_uploaded_image1_1684315680.jpg
Pantalon homme,8 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4202426_uploaded_image1_1683215127.jpg
T-shirts homme,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4202391_uploaded_image1_1683214169.jpg
Vêtements homme,13 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4202323_uploaded_image1_1683212066.jpg
Vêtement homme,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4209414_uploaded_image1_1683667292.jpg
Vêtement homme,12 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4217101_uploaded_image1_1684170291.jpg
T-shirt,4 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4205376_uploaded_image1_1683383488.jpg
Vêtement femme,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4200469_uploaded_image1_1683121874.jpg
Vêtement homme,12 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4200372_uploaded_image1_1683118737.jpg
Costume africain,15 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4235583_uploaded_image1_1685449984.jpg
Vêtement homme,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4199384_uploaded_image1_1683066700.jpg
Ensemble homme,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4231896_uploaded_image1_1685139415.jpg
Boubou homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4232236_uploaded_image1_1685184194.jpg
Ensemble short,12 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4231951_uploaded_image1_1685144265.jpg
T-shirt Calvin Klein,6 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4231950_uploaded_image1_1685144154.jpg
Ensemble homme,12 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4231946_uploaded_image2_1685143977.jpeg
Ensemble homme,12 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4231944_uploaded_image1_1685143943.jpg
Vêtements homme,11 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4230152_uploaded_image1_1685032144.jpg
Costumes africains,30 000CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4229871_uploaded_image1_1685021329.jpg
Sandales  homme,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4229737_uploaded_image1_1685016343.jpg
Ensemble mixte,9 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4229227_uploaded_image1_1684970234.jpg
Vêtements homme,8 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4229222_uploaded_image1_1684969953.jpg
T-shirt,2 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4229209_uploaded_image1_1684969163.jpg
Jallabe mixte,7 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4229075_uploaded_image1_1684958783.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4188995_uploaded_image1_1682377600.jpg
